ref	value	datasheet	Price (1500)	Manufacturer Part #	Misc	Price	Distributor Part #	Item count
D2	LED_RED	http://www.digikey.com/product-detail/en/APT2012EC/754-1128-1-ND/1747845	0.0702			0.16	754-1128-1-ND	1
FB1..FB3	600_O@200MA	http://www.digikey.com/product-detail/en/BLM18RK601SN1D/490-5227-1-ND/1948403	0.0264	BLM18RK601SN1D	FERRITE CHIP 600 OHM 200MA 0603	0.1	490-5227-1-ND	3
FB4	600_O@2A	http://www.digikey.com/product-detail/en/MPZ2012S601AT000/445-2206-1-ND/765104	0.03221	MPZ2012S601AT000	FERRITE CHIP BEAD 600 OHM SMD	0.16	445-2206-1-ND	1
"L1,L2"	2.2UH	http://www.digikey.com/product-detail/en/NR3015T2R2M/587-1648-1-ND/1008263	0.153	NR3015T2R2M	Backup - VLS3012T-2R2M1R5	0.29	587-1648-1-ND	2
P1	CONN_BATT	http://www.digikey.com/product-search/en?pv69=367&FV=ffec0e9e%2Cfff40016%2Cfff802f3%2Cfffc01c7%2C1600002&mnonly=0&newproducts=0&ColumnSort=0&page=1&stock=1&quantity=0&ptm=0&fid=0&pageSize=500	0.06836	S2B-PH-K-S(LF)(SN)		0.16	455-1719-ND	1
PWR_BUT1	SW_TACT	http://www.digikey.com/product-detail/en/PTS525SM10SMTR%20LFS/CKN9104CT-ND/1146923	0.3498	PTS525SM10SMTR LFS		0.65	CKN9104CT-ND	1
"Q1,Q2"	DTC114YKA	http://www.digikey.com/product-detail/en/DTC114YKAT146/DTC114YKAT146CT-ND/650713	0.04017	DTC114YKAT146		0.2	DTC114YKAT146CT-ND	2
R1..R15	10KO	http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248	0.00675	ERJ-6ENF1002V	RES SMD 10K OHM 1% 1/8W 0805	0.1	P10.0KCCT-ND	15
"R16,R17"	2.2KO	http://www.digikey.com/product-detail/en/ERJ-6ENF2201V/P2.20KCCT-ND/1746832	0.008	ERJ-6ENF2201V	RES SMD 2.2K OHM 1% 1/8W 0805	0.1	P2.20KCCT-ND	2
R18..R21	4.99_O	http://www.digikey.com/product-detail/en/RC2012F4R99CS/1276-5173-1-ND/3968145	0.00408	RC2012F4R99CS	RES SMD 4.99 OHM 1% 1/8W 0805	0.1	1276-5173-1-ND	4
R22	2.2KO	http://www.digikey.com/product-detail/en/ERJ-6ENF2201V/P2.20KCCT-ND/1746832	0.008	ERJ-6ENF2201V	RES SMD 2.2K OHM 1% 1/8W 0805	0.1	P2.20KCCT-ND	1
R23	100KO	http://www.digikey.com/product-detail/en/ERJ-6ENF1003V/P100KCCT-ND/119551	0.008	ERJ-6ENF1003V	RES SMD 100K OHM 1% 1/8W 0805	0.1	P100KCCT-ND	1
R24	2.2KO	http://www.digikey.com/product-detail/en/ERJ-6ENF2201V/P2.20KCCT-ND/1746832	0.008	ERJ-6ENF2201V	RES SMD 2.2K OHM 1% 1/8W 0805	0.1	P2.20KCCT-ND	1
R25..R27	22_O	http://www.digikey.com/product-detail/en/ERJ-6ENF22R0V/P22.0CCT-ND/1746835	0.008	ERJ-6ENF22R0V	RES SMD 22 OHM 1% 1/8W 0805	0.1	P22.0CCT-ND	3
R28..R31	10KO	http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248	0.00675	ERJ-6ENF1002V	RES SMD 10K OHM 1% 1/8W 0805	0.1	P10.0KCCT-ND	4
R32	2.2KO	http://www.digikey.com/product-detail/en/ERJ-6ENF2201V/P2.20KCCT-ND/1746832	0.008	ERJ-6ENF2201V	RES SMD 2.2K OHM 1% 1/8W 0805	0.1	P2.20KCCT-ND	1
R33	1_O	http://www.digikey.com/product-detail/en/RC2012F1R0CS/1276-5159-1-ND/3968131	0.00354	RC2012F1R0CS	RES SMD 1 OHM 1% 1/8W 0805	0.1	1276-5159-1-ND	1
R34	2.2KO	http://www.digikey.com/product-detail/en/ERJ-6ENF2201V/P2.20KCCT-ND/1746832	0.008	ERJ-6ENF2201V	RES SMD 2.2K OHM 1% 1/8W 0805	0.1	P2.20KCCT-ND	1
R35	240_O	http://www.digikey.com/product-detail/en/ERJ-6ENF2400V/P240CCT-ND/1746836	0.008	ERJ-6ENF2400V	RES SMD 240 OHM 1% 1/8W 0805	0.1	P240CCT-ND	1
R36	2.2KO	http://www.digikey.com/product-detail/en/ERJ-6ENF2201V/P2.20KCCT-ND/1746832	0.008	ERJ-6ENF2201V	RES SMD 2.2K OHM 1% 1/8W 0805	0.1	P2.20KCCT-ND	1
R37	200KO	http://www.digikey.com/product-detail/en/ERJ-6ENF2003V/P200KCCT-ND/119637	0.008	ERJ-6ENF2003V	RES SMD 200K OHM 1% 1/8W 0805	0.1	P200KCCT-ND	1
R38	0.03_O	http://www.digikey.com/product-detail/en/ERJ-8CWFR030V/P0.03BVCT-ND/4927047	0.16776	ERJ-8CWFR030V	RES SMD 0.03 OHM 1% 1W 1206	0.98	P0.03BVCT-ND	1
R39	47KO	http://www.digikey.com/product-detail/en/ERJ-6ENF4702V/P47.0KCCT-ND/1746873	0.008	ERJ-6ENF4702V	RES SMD 47K OHM 1% 1/8W 0805	0.1	P13.0KCCT-ND	1
R40	100KO	http://www.digikey.com/product-detail/en/ERJ-6ENF1003V/P100KCCT-ND/119551	0.008	ERJ-6ENF1003V	RES SMD 100K OHM 1% 1/8W 0805	0.1	P100KCCT-ND	1
R41	1.1KO	http://www.digikey.com/product-detail/en/ERJ-6ENF1101V/P1.10KCCT-ND/118969	0.008	ERJ-6ENF1101V	RES SMD 1.1K OHM 1% 1/8W 0805	0.1	P1.10KCCT-ND	1
R42	4.99KO	http://www.digikey.com/product-detail/en/ERJ-6ENF4991V/P4.99KCCT-ND/119161	0.008	ERJ-6ENF4991V	RES SMD 4.99K OHM 1% 1/8W 0805	0.1	P4.99KCCT-ND	1
RESET1	SW_TACT	http://www.digikey.com/product-detail/en/PTS525SM10SMTR%20LFS/CKN9104CT-ND/1146923	0.3498	PTS525SM10SMTR LFS		0.65	CKN9104CT-ND	1
SP1	SPEAK	http://www.digikey.com/product-detail/en/2403%20260%2000001/423-1171-ND/3854649	0.88518	2403 260 00001		1.89	423-1171-ND	1
U1	CONN_A13-LCD	https://www.olimex.com/Products/Components/Connectors/MALE-PAV16X-2x20/	0.36			0.45		1
U2	CONN_A13-1	https://www.olimex.com/Products/Components/Connectors/MALE-PAV16X-2x20/	0.36			0.45		1
U3	CONN_A13-2	~	0.12			0.16		1
U4	CONN_A13-3	~	0.12			0.16		1
U5	PCF8563T/5	"http://www.digikey.com/product-detail/en/PCF8563T%2F5,518/568-6650-1-ND/2617089"	0.5208	"PCF8563T/5,518"	RTC	1.21	568-6650-1-ND	1
U6	WM294_MODULE							1
U7	CONN_DISPLAY	http://www.digikey.com/product-detail/en/62684-502100ALF/609-1202-1-ND/1003059	0.74712	62684-502100ALF		1.35	609-1202-1-ND	1
U8	CONN_AUDIO	http://www.digikey.com/product-detail/en/SJ-43515TS-SMT-TR/CP-43515TSSJCT-ND/669733	0.5888	SJ-43515TS-SMT-TR	CP-43515TSSJTR-ND	1.54	CP-43515TSSJCT-ND	1
U9	TPA6203A1DGNR	http://www.digikey.com/product-detail/en/TPA6203A1DGNR/296-19604-1-ND/1014221	0.3906	TPA6203A1DGNR		0.91	296-19604-1-ND	1
U10	AXP209	https://www.olimex.com/Products/Components/IC/AXP209/	1.81	AXP209		2.26	AXP209	1
U11	SY8009A	https://www.olimex.com/Products/Components/IC/SY8009A/	0.45	SY8009A		0.54	SY8009A	1
U12	CONN_MICROUSB	http://www.digikey.com/product-detail/en/10118194-0001LF/609-4618-1-ND/2785382	0.19688	10118194-0001LF	609-4618-2-ND	0.46	609-4618-1-ND	1
X1	32768HZ/6PF	http://www.digikey.com/product-detail/en/ABS25-32.768KHZ-6-T/535-10240-1-ND/2218053	0.3192	ABS25-32.768KHZ-6-T		0.6	535-10240-1-ND	1
